summary,topic,title,date,translated_text
"Why does van Gaal no longer want to talk about Ribéry, Freiburg should even be happy about a 1:4 and Gladbach must lose according to all the rules of logic. The preview of the 20th game day.",Sport in the United Kingdom,"Bundesliga preview, 20th game day - The suffering of the general",00/01/2010,"Hamburger SV - VfL Wolfsburg (Friday, 8.30 p.m.) Bruno Labbadia has no easy task before the game against Wolfsburg. The coach of HSV has to prepare his team for a game that - to put it bluntly - nobody was interested in in Hamburg this week. The Hanseatic city fluctuated back and forth between euphoria and helplessness, between the welcome of the savior Ruud van Nistelrooy and the sympathy for the fate of Paolo Guerrero, who is still sitting in Peru and because of his fear of flying"
"FC Bayern are looking forward to the return of Rib & Rob, Schalke solves a problem almost by itself, and Mats Hummels attacks Maik Franz. The preview of the 19th game day.",Sport in the United Kingdom,"Bundesliga preview, 19th matchday - Robben's advice for Ribéry",00/01/2010,"SC Freiburg - VfB Stuttgart (Friday, 8.30 p.m.) The derby in the relegation struggle promises pure excitement. But Robin Dutt prefers not to exert pressure on his team: ""We have been consistently above the line for months now"", he is happy about the 15th place in the table, on which Freiburg stands. Stuttgart is the favorite, even if both teams separate only one point from each other: ""We will need eleven good individual performances to beat Stuttgart."" Also the statistics speak against the Breisgauer: Freiburg has not won any more since four games"
"From Nutella-Boys to ""Nulltella-Boys"" - the chocolate days at DFB are often followed by a big turnaround. What about Neuer, Özil, Höwedes and Hummels?",Sport in the United Kingdom,Winglitzer: The Nutella Curse - The Early Birds,00/01/2010,"From the Nutella-Boys to the ""Nulltella-Boys"" - usually follows on the chocolate days in the DFB-Team the big bend. Do Özil, Neuer, Höwedes and Hummels now have more luck? The wings flasher. Just in time for the start of the World Cup year, the national team will be properly sprayed again - namely the brown chocolate cream from Nutella. And because the breakfast refiners for their advertising campaigns do not bring any noisy morning mufflers into the boat, gives'"
"Van Bommel runs less than the team doctors, Klose steals Gomez a goal, and Butt should stop reading the newspaper. Bayern in the individual criticism.",Sport in the United Kingdom,Bayern Munich: Single Criticism - The Quartet of the Hard,00/01/2010,"Van Bommel runs less than the team doctors, Klose steals Gomez a goal, and Butt should stop reading the newspapers. Bayern, who won against Hoffenheim 2:0, in the individual criticism. Jörg Butt: Must read almost daily in the newspapers, which goalkeeper of FC Bayern for the coming season, on Friday it was once again the name of Samir Handanovic of Udinese Calcio. But plays in such a way that one has to ask why FC Bayern is looking for a goalkeeper for the coming season. Was though only rare"
"Udo Lattek wonders himself about his career. He ""came from nowhere"" and became the most successful German coach. His career in pictures",Sport in the United Kingdom,Udo Lattek turns 75 - From farmer's son to football philosopher,00/01/2010,"Udo Lattek wonders himself about his career. He ""came from nowhere"" and became the most successful German coach. This Saturday he will be 75. His career in pictures Federal coach Helmut Schön (middle) was Udo Lattek (left) co-coach. At 30 he did the DFB-Trainerlehrgang, Helmut Schön was looking for an assistant. Lattek was recommended by Gladbach's coach Hennes Weisweiler: ""I still have a boy, who is a student and not a footballer, but he can do that."""
Youth as a virtue: Never before have talents played such a decisive role in the championship fight as this year. An overview of the new youth style.,Sport in the United Kingdom,Football Bundesliga - Trau keinem über 23,00/01/2010,"On Friday, the Bundesliga kicks off with the game of FC Bayern against TSG Hoffenheim (pictured a scene from the home game). Even before the first kick-off, it can be guessed that this will be a replay, which denies itself beloved clichés. So far, Germany was allowed to assume that either the best defense, the best storm, the best leaders or in doubt the best German virtues will decide the championship. A look at the squads of the title candidates shows that the Bundesliga in its 47"
"Bayern coach warns, his boss demands a bouquet of flowers from Leverkusen. Hertha will not get rid of the bad luck and Dortmund does not want to be a petting zoo.",Sport in the United Kingdom,"""Bundesliga: Preview - Van Gaal: """" Spread a bit of fear""""""",00/01/2010,"FC Bayern Munich - TSG 1899 Hoffenheim (Fri. 20:30) The only test in the winter break FC Bayern was able to win in Basel, even if Mario Gomez does not see it that way. In the tz the striker said: ""We can not be satisfied. We lost the game, the other team then won the game."" I mean the second set with the double goal scorer Miroslav Klose, which had turned the 0:1 into a 3:1. Louis van Gaal was satisfied with the preparation."
"How Ribéry barely plays and Bayern nevertheless leads to the title, Lehmann cuts off a curl for a Spaniard and Podolski's son causes confusion.",Sport in the United Kingdom,"""Flügelflitzer: This is how the return round will be - """"What will Franck allow?""""""",00/01/2010,"For all greenkeepers and stadium cleaning companies incomprehensible: On Friday begins the return round in the Football Bundesliga. In Hanover they blow the snow with mobile devices from the stadium, the lawn heaters are thrown, Franck Ribéry considers which color shines on white ground especially. No, stop! Franck Ribéry is again not there against Hoffenheim. The Frenchman is missing because of a tooth injury. It is a sad beginning of this 47th Bundesliga return round, so without Rib"
"The main thing is exotic: almost everyone goes abroad at some point. In order to really benefit from the study period away from home, it is necessary to consider a few things.",Career,Studying abroad - I'm then away,00/01/2010,"The main thing is exotic: almost everyone goes abroad at some point. In order to really benefit from studying far away from home, it is necessary to consider a few things. Whether medicine in Calcutta or history in Oxford - studying abroad is not only good for your CV. It is also an exciting experience with which you can set the course for the future. According to the German Academic Exchange Service (DAAD), about one in four students in Germany goes abroad for one or two semesters. Some even decide to complete the entire study abroad beyond the German borders."
Write erotic text messages and follow hot air balloons: There are many ways to earn a living as a student. Short-term jobs in pictures.,Career,Exceptional student jobs - Better than waiters,00/01/2010,"Writing erotic text messages and following hot air balloons: There are many ways to earn a living as a student. Always just being a waiter is also boring. A selection of exceptional student jobs in pictures. Occupational title: Dog inventory collector Requirements: Good hearing, sense of smell and a certain hunting instinct Activity: Running through the streets and hallways of the city, looking for ""black dogs"", i.e. dogs that are not registered with the city."
"Qantas is still among the top performers in the latest statistics from the accident investigation agency JACDEC, but low-cost airlines are also at the forefront.",Travel,Aviation statistics 2009 - The safest airlines,00/01/2010,"The number of airlines with a long accident-free tradition is increasing worldwide. This is shown by the annual safety statistics of the German accident investigation agency JACDEC (Jet Airliner Crash Data Evaluation Centre), published by the German magazine for civil aviation Aero International. In the past 30 years - since 1 January 1979 - 17 of the 60 largest airlines in the world have been spared serious accidents, total losses or accidents with fatalities."
"In northern Canada it is cold, very cold for most of the year. And many months are quite dark. But the short summers tear everything out again.",Travel,"Canada - The North - Down, Gold and Warm Thoughts",00/01/2010,"In Canada it is cold - especially in the north of the second largest country in the world. However, it is sparsely populated. About 90 percent of the Canadians live no further than a few hundred kilometers from the American border - the further north you go, the wilder the landscape becomes. About a third of the territory of Canada lies north of the Arctic Circle. In winter, the conditions are comparatively unfavorable. And yet, here numerous tribes of the First Nations, the Canadian natives, have survived for centuries."
"There are lots of beautiful things to be found in Canada: lots of landscape, friendly people and breathtaking nature. That's all true - and yet Canada has so much more to offer.",Travel,Canada - An overview - Country of superlatives,00/01/2010,"There are all kinds of beautiful things to be found in Canada: a lot of landscape, friendly people and breathtaking nature. That's all true - and yet Canada has so much more to offer. The northern neighbor of the USA is the second largest land-locked country in the world after Russia. Canada stretches between the Atlantic Ocean in the east and the Pacific Ocean in the west over five and a half time zones - sometimes one is also special: Canada does not have six time zones, but five and a half. In Newfoundland, the clocks tick rather unusually: four hours and three minutes."
"These ships will be launched in 2010. They offer skating rink, Formula 1 simulator, circus tent and brewery - what you need at sea. An overview in pictures.",Travel,New cruise ships 2010 - On roller skates over the sea,00/01/2010,"From the Victory Column through the Brandenburg Gate to the Humboldt University in Berlin, it is about 2.9 kilometres. The number of cruise ships that are to be christened in 2010 would also be about this long if they lay in a harbour basin one after the other. The eleven new buildings together offer exactly 24,836 passengers space - which corresponds roughly to the population of Bad Honnef on the Rhine or Lindau on Lake Constance. Although the shipping companies always give up older ships for this."
There are areas in the world that you just have to travel to - and one of the most beautiful is close enough for a short trip.,Travel,Travel Tips - The most beautiful destinations for 2010,00/01/2010,"There are areas in the world that you should have seen - but so that you don't find out after your own holiday where it might have been nicer, the Lonely Planet has selected ten regions that are worth a trip in 2010 - the number one of the Top 10 is close enough for a short trip: Place 1: Alsace, France The mixture makes it: In Alsace with the largest city Strasbourg you will find German-looking rustic houses, over and over covered with geraniums, but also French influence, which among other things at fashion boutiques or"
"Flat farmland dominates the three prairie provinces of Manitoba, Sasketchewan and Alberta - an outdoor playground for real guys.",Travel,"Canada - The Prairie - Cowboys, oil and lots of landscape",00/01/2010,"Once a year, everything is different in Calgary. For ten days, the largest city in the Canadian province of Alberta revives the Wild West in July - it is a state of emergency in the prairies. Since 1912 the first stampede was held, the whole city is involved: ties and suits remain in the closet; cowboy boots, flashing belt buckles and snow-white cowboy hats are then trendy. Thousands of volunteers distribute free freshly baked mornings"
"The highlight at the Mercedes booth is actually the new CLS. However, the model can only be seen hidden.",car,Detroit 2010: Mercedes CLS - Sculpture instead of car,00/01/2010,"The highlight at the Mercedes booth are neither the SLS nor the new E-Class Cabriolet. Both are already well-known - in contrast to the new CLS. It was at least a sculpture. This year, there is only one real novelty for the Stuttgarters in itself - the Mercedes CLS. Although the predecessor has already been on the rocks for a few years, it still looks attractive even in addition to the current E-Class and therefore also enjoys a decent demand from customers on the international markets."
News in the usual quality now easily and quickly at the touch of a finger for iPhone and iPod touch.,app,SZ.de-App - For iPhone,00/01/2010,"News, backgrounds and more: SZ.de now offers you the entire current news page of SZ in a practical app. With reports in the usual SZ quality, analyses, comments, videos, picture galleries and a large sports live ticker world. The SZ.de app with many extras Share and remember Recommend our texts with a click on Facebook, Twitter, by SMS or email our articles further. In addition, you can remember texts to read them later. Dashboard/Texts to-go In the Dashboard"
"""Young, ruthless, anti-constitutional, that's the FDP"": SPD leader Sigmar Gabriel sets out the way in the election campaign with striking slogans.",Politics,Gabriel in the NRW election campaign - Etchings against black-yellow,00/02/2010,"""Young, ruthless, anti-constitutional, that's the FDP"": SPD leader Sigmar Gabriel sets out the way in the election campaign with striking slogans. Ten weeks before the state elections in North Rhine-Westphalia, SPD leader Sigmar Gabriel has sworn his party into a hard fight with black and yellow. The election on 9 May must also send out a strong signal against the policies of the CDU and FDP in the federal government, he said at the state party congress of the North Rhine-Westphalia SPD in"
"""There is no road without debris"": Concepción, the largest city in Chile, was hit the hardest by the earthquake, with all major buildings in the city of millions collapsing.",Politics,Concepción - a city is destroyed,00/02/2010,"""There is no road without debris"": The Chilean city of Concepción has been hit hardest by the earthquake. All important buildings in the city of millions have collapsed. The Chilean city of Concepción has been hit hardest by the devastating earthquake. Bridges have collapsed, roads have been literally pushed together, the TVN reported on Saturday. All important buildings in the city located about 500 kilometers south of Santiago de Chile collapsed under the impact of the quake. """
"""Irre Aussagen"" von ""Schreihals"" Westerwelle: The Hartz IV debate continues - the opposition continues to attack the FDP leader. Westerwelle also expresses himself again - and targets an unfamiliar opponent.",Politics,Hartz IV debate - All against Westerwelle,00/02/2010,"""Irre Aussagen"" von ""Schreihals"" Westerwelle: The Hartz IV debate continues - the opposition continues to attack the FDP leader. Westerwelle also expresses himself again - and targets an unusual opponent. Also at the weekend, the debate about Hartz IV continues. Former SPD Federal Labour Minister Olaf Scholz has accused FDP leader and Foreign Minister Guido Westerwelle of inciting resentment with his Hartz IV statements. """
The coalition is not resting: the CSU is stepping up its opposition to the health premium planned by the FDP.,Politics,Politics compact - Seehofer announces veto against heads-up,00/02/2010,"The coalition is not resting: The CSU is stepping up its resistance to the health premium planned by the FDP. Overview of short news In the dispute over health policy, the CSU is tightening the tone towards the coalition partner FDP. CSU leader Horst Seehofer announced his veto against a health premium. ""I will not be able to change the existing wage-based and socially just employee contributions to a flat rate,"" said the Bavarian Prime Minister of the Rheinische Post."
The imposition of celibacy on priests is responsible for the crisis of the Catholic Church. Now is the time to discuss the Code of celibacy.,Politics,Abuse at monastery schools - celibacy and abuse,00/02/2010,"The forced celibacy of priests is responsible for the crisis of the Catholic Church. Now it is time to discuss the Code of celibacy. Mass sexual abuse of children and young people by Catholic clergy from the USA to Ireland to Germany: a huge loss of the image of the Catholic Church, but also a revelation of its deep crisis. For the German Episcopal Conference, its chairman, Archbishop Robert Zollitsch from Freiburg, had first taken a public stand."
"Like their colleagues in North Rhine-Westphalia, the Saxon Christian Democrats apparently also market their head of state in sponsorship contracts. From 3900 euros there are ""short talks"" with Prime Minister Tillich.",Politics,Sponsorship affair in the CDU - Tillich also on offer,00/02/2010,"Like their NRW colleagues, the Saxon Christian Democrats apparently also market their leader in sponsorship contracts. From 3900 euros there are ""short talks"" with Prime Minister Tillich. The sponsorship affair of the CDU is expanding. Der Spiegel reports on a letter to potential supporters of the CDU event ""Denkfabrik Sachsen"", which takes place on Monday in Dresden. Afterwards, interested companies can choose four ""presentation levels"" for the price of 500 to 8,000 euros."
Before the Federal Press Conference Guido Westerwelle meets his sharpest critics. About a failed attempt at sympathy advertising.,Politics,"""Westerwelle on a cuddle course - """"In love, Guido""""""",00/02/2010,"Love is a big word. Some people shy away for a lifetime from taking it in their mouths. Not so Guido Westerwelle. ""Thank you for your interest,"" he writes after his appearance before the Federal Press Conference this Friday on a press release, which he has handed over to a journalist. And ""In love, your Guido Westerwelle."" ""In love,"" he put in quotation marks, after all. Prior to that, a colleague of the Berliner Zeitung had asked him to please read again what he had read in the world in mid-February."
It is a remarkable sign that the Pakistani security apparatus is dropping cover for the Taliban and allowing the arrest of commanders.,Politics,Afghanistan - Pakistan's Prize,00/02/2010,"It is a remarkable sign when the Pakistani security apparatus drops the cover for the Taliban and allows the arrest of commanders. While in Germany the parliament performs a dance staged for home use during the mandate vote, events in Afghanistan move at a high pace. In the south, the Isaf reports first successes - the additionally deployed soldiers can penetrate into areas that were previously unsecured. Thus, the Taliban are pushed back to Pakistan. In Pakistan itself, the"
"Hannelore Kraft convinces at the party congress with classic SPD rhetoric. Her speech, however, was also an application for the office of prime minister - but the prospect is not rosy.",Politics,SPD Congress in North Rhine-Westphalia - The 99 Percent Power,00/02/2010,"Hannelore Kraft convinced at the party congress with classic SPD rhetoric. Her speech, however, was also an application for the office of prime minister - but the prospect is not rosy. The place for the state party congress was carefully chosen. Nowhere else does the North Rhine-Westphalia SPD feel as at home as in Dortmund, the alleged ""heart chamber of social democracy"". From here, said NRW SPD General Secretary Michael Groschek at the start of the two-day party congress, should """
Wuppertal thieves have acquired the CD with data from about 1500 alleged tax evaders. The informant is said to have received 2.5 million euros.,Politics,North Rhine-Westphalia - The tax CD is purchased,00/02/2010,"The talks lasted almost three weeks and proceeded very discreetly. A team of the Wuppertal tax investigation, led by the head of the office, the 60-year-old Peter B., negotiated abroad with an informant about the purchase of a CD with the data of 1,500 German customers of the Swiss bank Credit Suisse. The informant had already offered this CD to the Wuppertal citizens for purchase a year ago and demanded 2.5 million euros. The investigators had then first asked him for a list of names of persons from North Rhine-Westphalia, because they were interested in their"
"Because Schwarz-Gelb cannot agree in Baden-Württemberg, the federal government is now to decide on the acquisition of a CD containing data on alleged tax evaders.",Politics,Baden-Württemberg: Tax CD - Data on transit,00/02/2010,"Because black and yellow in Baden-Württemberg cannot agree, the federal government is now to decide on the purchase of a CD with data of alleged tax evaders. The Swabians are in the reputation of being a man of frugality. The state government is now also practicing this virtue: Baden-Württemberg has postponed the decision on the purchase of a CD with data of alleged tax evaders to the Federal Central Office for Taxation. If two argue, the federal government is to decide The state government will be the offered tax"
"The CDU in North Rhine-Westphalia offered entrepreneurs talks with Prime Minister Rüttgers for a fee - Secretary General Wüst has therefore resigned. Nevertheless, the affair has not been resolved.",Politics,North Rhine-Westphalia: Shakers and the Sponsors Affair - The goods close,00/02/2010,"The CDU in North Rhine-Westphalia offered entrepreneurs talks with Prime Minister Rüttgers for a fee - Secretary General Wüst has therefore resigned. Nevertheless, the affair has not been resolved. At the beginning of February, the candidates of the North Rhine-Westphalia CDU for the state election on 9 May received mail from the state office in Düsseldorf. In the documents there was a ""model speech on state politics"", so to speak as a handout, so that the party friends during their appearances in the country also disseminate the right message. And that is: In the peace lies"
"No Dr.: The CDU deputy Dieter Jasper campaigned with a false doctorate - and now he has to fear ""hard consequences"". He sees himself as a victim.",Politics,CDU: False doctor Jasper - The deep fall of the title holder,00/02/2010,"No Dr.: The CDU deputy Dieter Jasper has fought an election campaign with a false doctorate - and now has to fear ""hard consequences"". He sees himself as a victim. The CDU deputy Dieter Jasper has already achieved something historic. His case is unique in 60 years of federal republican parliamentary history. At the latest in the middle of next week, Bundestag President Norbert Lammert (CDU) decides whether the election examination committee of the Bundestag has to deal with him. The question: Has Jasper fought with a false doctorate?"
"Eklat in the Reichstag building: During the debate on the deployment to Afghanistan, Bundestag President Lammert refers the deputies of the Left Group to a protest action in the chamber.",Politics,Afghanistan debate in the Bundestag - Left provokes a crackdown,00/02/2010,"Eklat in the Reichstag building: During the debate on the deployment in Afghanistan, Bundestag President Lammert refers the deputies of the Left Group to the Chamber for a protest action. In the Bundestag debate on the deployment in Afghanistan of the Bundeswehr, there was an eclectic situation: on Friday, Bundestag President Norbert Lammert excluded deputies of the Left Group from the meeting because they had demonstrated with protest posters against the deployment."
Bundestag President Norbert Lammert referred to the Rules of Procedure of the Bundestag when he expelled the left-wing deputies. The corresponding paragraph in the text.,Politics,Exclusion of Members - What the Rules of Procedure say,00/02/2010,"Bundestag President Norbert Lammert invoked the Rules of Procedure of the Bundestag when he expelled the left-wing deputies. The corresponding paragraph in the text. Bundestag President Norbert Lammert (CDU) invoked the Rules of Procedure of the Bundestag when he expelled left-wing deputies from the plenary. The corresponding paragraph in the text: §38 Exclusion of Members of the Bundestag (1) Due to gross violation of the Rules of Procedure, the President may, even if no order has been issued, for"
"Shortly before the Bundestag vote on the Afghanistan mandate, suicide bombers attack Kabul. Among the dead are also foreigners.",Politics,Terror in Kabul - Taliban send attackers to shopping mall,00/02/2010,"Shortly before the Bundestag vote on the Afghanistan mandate, suicide bombers are attacking Kabul. Among the dead are also foreigners. At least 15 people were killed in an attack on a shopping mall and a neighbouring hotel in Kabul on Friday. Eyewitnesses reported heavy shootings. As a spokesman for the Ministry of Health in the Afghan capital reported, 18 more people were injured. Other sources speak of 17 dead and 32 injured. Among the victims are several foreigners."
US President Barack Obama wants to push healthcare reform through parliament without the opposition if necessary.,Politics,Obama at the impasse,00/02/2010,"Obama: Healthcare reform alone if necessary New round in the fight for US healthcare reform: After the failed summit meeting, President Barack Obama wants to punch his most important reform work through parliament if necessary without the opposition Republicans. In view of the blockade policy of the Republicans, the Democrats are considering passing the law in the course of the budget consultations. However, they do not need a ""super majority"" of 60 votes in the Senate and are thus not dependent on the Republicans. US media commented that the seven-hour"
What did Colonel Klein know when he gave the order to attack the tank trucks? The Kundus Inquiry Committee asks witnesses.,Politics,"""Kundus affair - """"I was not in the commander's head""""""",00/02/2010,"On Thursday, the Kundus Inquiry Committee of the Bundestag continued its investigation into the bombing of two tank trucks hijacked by the Taliban on September 4, 2009 in Afghanistan. The focus was on the questioning of two soldiers who, along with the then commander Colonel Georg Klein, were involved in the conduct of the operation. The intelligence officer of the Task Force47 special unit, Captain N., and the so-called pilot officer, Oberfeldwebel W., were to provide information on the basis of which intelligence Klein"
"Roundings instead of clear edges: The hopes of the SPD in North Rhine-Westphalia rest on Hannelore Kraft, but the head of state finds it difficult to fulfil them.",Politics,SPD in North Rhine-Westphalia: Hannelore Kraft - The woman who does not trust herself,00/02/2010,"Roundings instead of a clear edge: The hopes of the SPD in North Rhine-Westphalia rest on Hannelore Kraft, but the head of state finds it difficult to fulfil them. This lady is precisely the bearer of hope for the German Social Democracy. This woman is supposed to inspire the party with new courage, on 9 May, when North Rhine-Westphalia is to be elected and the SPD is not only to overthrow Prime Minister Jürgen Rüttgers (CDU), but at the same time to grind the black and yellow majority of the Federal Council. It is perhaps something much demanded of Hannelore Kraft."
Libya's ruler is once again arguing against Switzerland - and this time is calling for a holy war against the country.,Politics,Gaddafi wants Holy War against Switzerland,00/02/2010,"Libya's ruler is once again arguing against Switzerland - and this time calls for a holy war against the country. Brief news at a glance. At the end of last year, the self-appointed ""King of Africa"" had called for Switzerland to be abolished. Now the Libyan revolutionary leader Muammar Gaddafi is again storming the Alpine country - and is calling for a holy war. Switzerland is an unbelieving state in which mosques are being destroyed, Gaddafi declared in Benghasi. ""Every Muslim in the world"
"The US Congress is paralyzed, the US is experiencing a political depression. President Obama is also desperate for the system.",Politics,USA: Healthcare reform - Obama - hostage in Washington,00/02/2010,"The US Congress is paralyzed, the US is experiencing a political depression. President Obama is also desperate about the system. He is one of the one hundred most powerful politicians in America. Only 20 months ago Barack Obama would have almost elected this man as his vice president - but now Evan Bayh, a democratic senator from the state of Indiana, has become the prosecutor against Washington, the witness against the ruling system."
"The CDU, CSU and FDP prefer to act on Hartz IV rather than in the economic crisis. Responsible governance is different.",Politics,Black-Yellow - A government that is not respected,00/02/2010,"The CDU, CSU and FDP prefer to act around Hartz IV rather than in the economic crisis. Responsible governance is different. A government can give rise to many feelings. One can be angry with it if one thinks its goals are wrong. One can rejoice with it if it does what one wants. One can worry if it does nothing where action is needed. And one can be proud of it here and there if - as in the past with the compensation for forced workers - its responsibility really"
"Ten times approval, but less and less confidence: will the Bundestag once again extend the Afghanistan mandate - for the last time?",Politics,Bundeswehr in Afghanistan - knowledge - bombed into consciousness,00/02/2010,"Ten times approval, but less and less confidence: Once again, the Bundestag will extend the Afghanistan mandate - the last time? When the members of the German Bundestag decided on 22 December 2001 to send 1200 German soldiers to Afghanistan, they did so in the hope of a peaceful future on the Hindu Kush. Sadly, they have repeated it year after year since then. The troop strength has grown during this time, the hope for peace has diminished."
"US President Obama fought eagerly for his most important project. But in the end, the health summit was no more than a political theater. There was no agreement.",Politics,USA: Healthcare reform - Obama's play,00/02/2010,"US President Obama has fought hard for his most important project. But in the end, the health summit was no more than a political theater. There was no agreement. US President Barack Obama has called on the parties to agree on a health reform. ""We have to find common ground,"" he said in the more than seven-hour debate with leading Republicans and Democrats, which was broadcast live on television. Health reform is Obama's most important domestic policy project, failure would be a heavy blow for him."
"The bishops go on the offensive and appoint a commissioner for cases of abuse, but many of them also feel that they are being denounced.",Politics,Episcopal Conference - Shame and shock,00/02/2010,"The bishops go on the offensive and appoint a commissioner for cases of abuse. But many of them also feel put to shame. Once the archbishop loses his temper. When the journalist from the third row asked whether sexual abuse is in accordance with Jesus, he was still good enough to say that abuse is a crime. When the colleague, sent by the faith community ""Universal Life"", now wants to discuss an individual case, he really goes up: ""I"
